"","satisfaction","issue","gender","education","age","income","franco","CITY","PCODE","im_many","im_ref","im_val","im_econ","similar","party","nafta","us_view","province","year","CSD","Year","Total_Trade_Exposure","Total_Employment","nafta_raw","nafta_pro","per_us_ex","QC","econ_sat","ideology_index","CD","economic_left_right"
"1",0,"None",1,"High school and above",4,"Low income",0,"London","",2,NA,3,NA,3,NA,1,2,"ON","2017","",NA,NA,NA,1,1,NA,0,NA,2.5,NA,NA
"2",1,"Deficit/public debt",0,"University and above",3,"Low income",0,"OTTAWA","K1N",1,2,2,4,3,NA,2,3,"ON","2017","3506008","2017",0.000492667934795515,222593,2,0,0.0492667934795515,0,1,1.66666666666667,NA,NA
"3",0,"Taxes",1,"High school and above",3,"High income",0,"THORSBY","T0C2P0",3,4,4,3,2,NA,2,2,"AB","2017","4811012","2017",0.00417687104729625,4905,2,0,0.417687104729625,0,NA,3.66666666666667,NA,NA
"4",0,"Taxes",1,"Less than high school",4,"Low income",0,"WINNIPEG","R3N1Z1",4,4,4,4,3,NA,NA,2,"MB/SK","2017","4611040","2017",0.000642316014737302,163982,NA,NA,0.0642316014737302,0,NA,4,NA,NA
"5",1,"Deficit/public debt",1,"Less than high school",4,"Low income",1,"BERTHIERVILLE","J0K1A0",4,NA,4,4,3,NA,1,4,"QC","2017","2452035","2017",0.00447302410314499,894,1,1,0.447302410314499,1,1,4,NA,NA
"6",0,"Poor government/leadership",0,"University and above",3,"High income",1,"ST-PIERRE-DE-LA-RIVIERE-DU-SUD","G0R4B0",1,2,2,3,3,NA,2,4,"QC","2017","2418055","2017",0.0089716169038763,56,2,0,0.89716169038763,1,NA,1.66666666666667,NA,NA
"7",1,"Economy/interest rates/Recession",1,"High school and above",3,"Low income",0,"ETOBICOKE","M9C1V3",2,2,NA,2,3,NA,NA,2,"ON","2017","3520005","2017",0.000503020451719662,768033,NA,NA,0.0503020451719662,0,1,2,NA,NA
"8",1,"Immigration/refugees/racial issues",1,"University and above",4,"Low income",0,"STOUFFVILLE","L4A",3,4,4,3,3,NA,1,2,"ON","2017","3519044","2017",0.00193443647635081,11424,1,1,0.193443647635081,0,1,3.66666666666667,NA,NA
"9",0,"Poverty/hunger/homelessness",0,"High school and above",4,"Low income",0,"HALIFAX","B3P",1,3,3,3,2,NA,3,4,"Atlantic","2017","1209034","2017",0.000781827778883581,85956,3,NA,0.0781827778883581,0,NA,2.33333333333333,NA,NA
"10",1,"Oil sands/oil pipelines",0,"High school and above",3,"High income",0,"Edmonton","",1,2,1,4,2,NA,1,4,"AB","2017","",NA,NA,NA,1,1,NA,0,1,1.33333333333333,NA,NA
